date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:22	531/531	---M--	200	added ('OK')	image/gif	etag:%220e035b53139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2bd.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2bd.gif	(from http://www.winsfordasc.co.uk/meetscal.html)
06:28:23	1993/1993	---M--	200	added ('OK')	image/jpeg	etag:%220d22f831313d01:0%22	http://www.winsfordasc.co.uk/Resources/meetstopimage1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/meetstopimage1.jpg	(from http://www.winsfordasc.co.uk/meetscal.html)
06:28:23	2073/2073	---M--	200	added ('OK')	image/png	etag:%220dd9a9e1313d01:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhite5.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhite5.png	(from http://www.winsfordasc.co.uk/meetscal.html)
06:28:24	20288/20288	---M--	200	added ('OK')	text/html	etag:%228063d53f1313d01:0%22	http://www.winsfordasc.co.uk/openmeets.html	wascPublic/wasc/www.winsfordasc.co.uk/openmeets.html	(from http://www.winsfordasc.co.uk/meetscal.html)
06:28:24	452/452	---M--	200	added ('OK')	image/gif	etag:%228087d27d1313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2c4.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2c4.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:24	1188/1188	---M--	200	added ('OK')	image/gif	etag:%228087d27d1313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2c5.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2c5.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:25	1170/1170	---M--	200	added ('OK')	image/gif	etag:%2206aa6791313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b4h.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b4h.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:25	445/445	---M--	200	added ('OK')	image/gif	etag:%2280d3d791313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b4g.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b4g.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:25	43500/43500	---M--	200	added ('OK')	image/jpeg	etag:%220d22f831313d01:0%22	http://www.winsfordasc.co.uk/Resources/meetstopimage.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/meetstopimage.jpg	(from http://www.winsfordasc.co.uk/meetscal.html)
06:28:25	1029/1029	---M--	200	added ('OK')	image/gif	etag:%2280c5e6711313d01:0%22	http://www.winsfordasc.co.uk/Resources/item2b1a3.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b1a3.gif	(from http://www.winsfordasc.co.uk/information.html)
